,Make,AccidentArea,Sex,MaritalStatus,Age,Fault,PolicyType,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,delay_weeks
2280,Mazda,Rural,Female,Married,32,Policy Holder,Sedan - Collision,30000 to 39000,0,400,3,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,61
2281,Chevrolet,Urban,Male,Married,41,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,60
2282,Toyota,Urban,Male,Single,30,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,60
2283,Pontiac,Rural,Male,Married,33,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,61
2284,Honda,Urban,Male,Married,64,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,13
2285,Toyota,Urban,Male,Single,21,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,more than 4,6 years,No,No,External,none,no change,1 vehicle,2
2286,Toyota,Urban,Male,Married,60,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,62
2287,Toyota,Urban,Male,Married,53,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
2288,Mazda,Urban,Male,Single,32,Third Party,Sedan - Collision,more than 69000,0,400,4,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,3
2289,Honda,Urban,Male,Married,29,Third Party,Sedan - Collision,30000 to 39000,0,400,2,more than 30,2 to 4,7 years,No,No,External,more than 5,4 to 8 years,2 vehicles,10
2290,Accura,Rural,Male,Married,61,Policy Holder,Utility - All Perils,more than 69000,0,400,4,1 to 7,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,61
2291,Honda,Urban,Male,Married,25,Policy Holder,Sport - Collision,more than 69000,0,400,4,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,10
2292,Chevrolet,Urban,Male,Married,52,Policy Holder,Sedan - Collision,30000 to 39000,1,400,2,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,2
2293,Toyota,Urban,Male,Married,53,Policy Holder,Sedan - All Perils,less than 20000,0,400,3,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,3
2294,Nisson,Urban,Male,Married,47,Third Party,Utility - Collision,more than 69000,0,700,2,more than 30,more than 4,more than 7,No,No,External,more than 5,no change,1 vehicle,61
2295,Saab,Urban,Male,Married,39,Policy Holder,Sedan - Collision,30000 to 39000,0,500,4,more than 30,more than 4,7 years,No,No,External,1 to 2,2 to 3 years,1 vehicle,60
2296,Toyota,Rural,Male,Married,49,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,none,more than 7,No,No,External,3 to 5,no change,3 to 4,1
2297,Mazda,Urban,Male,Single,34,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,more than 4,6 years,No,No,External,none,no change,1 vehicle,4
2298,Saab,Urban,Male,Married,40,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,3,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,9
2299,Honda,Urban,Male,Single,16,Third Party,Sport - Collision,more than 69000,0,400,2,more than 30,1,3 years,No,No,External,none,no change,1 vehicle,61
2300,Mazda,Urban,Male,Married,44,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,62
2301,Pontiac,Urban,Male,Married,28,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
2302,Chevrolet,Urban,Male,Married,51,Policy Holder,Sedan - Liability,40000 to 59000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,60
2303,Toyota,Urban,Male,Single,23,Policy Holder,Sedan - Liability,more than 69000,0,400,2,more than 30,1,5 years,No,No,Internal,none,no change,1 vehicle,1
2304,Honda,Rural,Male,Single,28,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,3
2305,Pontiac,Urban,Male,Married,42,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,62
2306,Chevrolet,Urban,Male,Married,66,Policy Holder,Utility - All Perils,more than 69000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,60
2307,Pontiac,Urban,Male,Married,44,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,60
2308,Toyota,Urban,Male,Married,52,Third Party,Sedan - Collision,30000 to 39000,0,400,2,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,61
2309,Mazda,Rural,Male,Single,59,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,60
2310,Chevrolet,Urban,Female,Single,30,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,1,7 years,No,No,External,3 to 5,4 to 8 years,2 vehicles,61
2311,Honda,Urban,Male,Married,34,Third Party,Sport - Collision,more than 69000,0,400,3,none,1,7 years,No,No,External,none,no change,1 vehicle,5
2312,Pontiac,Urban,Male,Married,37,Policy Holder,Sedan - Liability,30000 to 39000,0,400,3,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,60
2313,Honda,Urban,Female,Married,50,Policy Holder,Sport - Collision,more than 69000,1,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,2
2314,Chevrolet,Urban,Male,Married,43,Third Party,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,61
2315,Pontiac,Urban,Male,Married,44,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,61
2316,Mazda,Urban,Male,Married,32,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1
2317,Pontiac,Urban,Male,Married,42,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,2,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,2
2318,Chevrolet,Urban,Female,Single,21,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,1,5 years,No,No,External,none,no change,1 vehicle,62
2319,Honda,Urban,Male,Single,34,Policy Holder,Sedan - All Perils,more than 69000,0,400,2,more than 30,2 to 4,new,No,No,External,none,no change,1 vehicle,60
2320,Mazda,Urban,Male,Married,55,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,14
2321,Honda,Urban,Male,Single,17,Policy Holder,Sedan - All Perils,more than 69000,0,400,1,more than 30,none,new,No,No,External,none,no change,1 vehicle,4
2322,Pontiac,Rural,Male,Married,40,Policy Holder,Sedan - Liability,more than 69000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,35
2323,Chevrolet,Urban,Male,Married,45,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,5 years,No,No,External,none,no change,1 vehicle,61
2324,Pontiac,Urban,Male,Single,38,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,61
2325,Pontiac,Urban,Male,Divorced,32,Policy Holder,Sedan - Collision,more than 69000,0,400,2,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,54
2326,Chevrolet,Urban,Female,Single,35,Third Party,Sedan - Collision,30000 to 39000,0,400,3,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,3
2327,Mazda,Urban,Female,Married,34,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,4
2328,Chevrolet,Urban,Female,Single,35,Policy Holder,Sedan - Liability,40000 to 59000,0,400,3,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,11
2329,Honda,Urban,Male,Single,37,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,60
2330,Toyota,Urban,Male,Single,35,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,60
2331,Honda,Urban,Female,Married,53,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,more than 5,4 to 8 years,2 vehicles,18
2332,Honda,Urban,Male,Single,31,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,60
2333,Pontiac,Urban,Male,Married,32,Policy Holder,Sedan - Collision,less than 20000,0,400,1,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,60
2334,Toyota,Urban,Male,Married,55,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,60
2335,Toyota,Urban,Male,Married,65,Third Party,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,2
2336,Toyota,Rural,Male,Single,27,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,1 vehicle,2
2337,Chevrolet,Urban,Male,Married,51,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,none,no change,3 to 4,60
2338,Chevrolet,Urban,Male,Married,32,Policy Holder,Sedan - Collision,20000 to 29000,1,400,1,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,3
2339,Mazda,Urban,Male,Married,60,Policy Holder,Sedan - Collision,20000 to 29000,1,400,4,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,2
2340,Honda,Urban,Male,Married,26,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,none,5 years,No,No,External,1 to 2,no change,1 vehicle,62
2341,Pontiac,Urban,Male,Single,42,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,1,7 years,No,No,External,3 to 5,no change,1 vehicle,1
2342,Mercury,Urban,Male,Married,72,Policy Holder,Sedan - Collision,more than 69000,0,400,2,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,60
2343,Toyota,Urban,Male,Married,31,Third Party,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1
2344,Accura,Urban,Male,Single,29,Policy Holder,Utility - All Perils,more than 69000,0,400,2,15 to 30,1,6 years,No,No,External,none,no change,1 vehicle,1
2345,Toyota,Urban,Male,Married,28,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,60
2346,Mazda,Urban,Male,Single,30,Policy Holder,Sedan - Collision,20000 to 29000,0,500,1,more than 30,none,6 years,No,No,External,3 to 5,2 to 3 years,1 vehicle,1
2347,Accura,Urban,Male,Married,64,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,61
2348,Mazda,Urban,Male,Married,26,Third Party,Sport - Collision,more than 69000,0,400,3,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,62
2349,VW,Urban,Male,Married,47,Third Party,Sedan - Liability,30000 to 39000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,63
2350,Pontiac,Urban,Male,Single,39,Policy Holder,Sedan - Liability,less than 20000,0,400,4,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,60
2351,Toyota,Urban,Male,Married,34,Policy Holder,Sedan - Collision,less than 20000,0,400,1,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,61
2352,VW,Rural,Male,Married,74,Policy Holder,Sedan - All Perils,40000 to 59000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,1 to 2,4 to 8 years,2 vehicles,60
2353,Chevrolet,Urban,Male,Married,40,Policy Holder,Sedan - All Perils,30000 to 39000,1,400,3,more than 30,2 to 4,7 years,No,Yes,External,1 to 2,no change,1 vehicle,6
2354,Mazda,Urban,Male,Single,28,Third Party,Sedan - Collision,20000 to 29000,0,400,2,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,60
2355,Honda,Urban,Male,Married,34,Policy Holder,Sedan - Liability,more than 69000,0,400,3,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,62
2356,Honda,Urban,Female,Married,28,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,60
2357,Jaguar,Rural,Male,Married,39,Third Party,Sedan - All Perils,30000 to 39000,0,400,2,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,2
2358,Pontiac,Urban,Female,Single,30,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,1,5 years,No,No,External,none,no change,1 vehicle,60
2359,Honda,Urban,Male,Single,17,Policy Holder,Sedan - All Perils,more than 69000,0,400,1,more than 30,1,new,No,No,External,none,no change,1 vehicle,61
2360,Honda,Urban,Male,Single,19,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,2 to 4,4 years,No,No,External,more than 5,no change,1 vehicle,60
2361,Pontiac,Rural,Female,Married,34,Policy Holder,Sedan - Collision,30000 to 39000,1,400,2,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,61
2362,Toyota,Urban,Female,Married,45,Third Party,Sedan - Liability,30000 to 39000,0,400,2,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,60
2363,Honda,Urban,Male,Single,16,Policy Holder,Sedan - Liability,more than 69000,0,400,3,more than 30,1,new,No,No,External,none,no change,1 vehicle,61
2364,Mazda,Urban,Male,Married,37,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,60
2365,Honda,Urban,Male,Single,31,Policy Holder,Sport - Collision,more than 69000,0,400,2,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,3
2366,Toyota,Rural,Male,Single,44,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,none,7 years,Yes,No,External,none,1 year,1 vehicle,60
2367,Pontiac,Urban,Female,Married,35,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,60
2368,Mazda,Rural,Male,Single,33,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,60
2369,Chevrolet,Urban,Female,Married,48,Policy Holder,Sedan - Liability,20000 to 29000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,61
2370,Honda,Urban,Male,Married,27,Policy Holder,Sport - Collision,more than 69000,0,400,4,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,4
2371,Mazda,Urban,Male,Married,34,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,60
2372,Pontiac,Urban,Male,Married,60,Third Party,Sedan - Liability,20000 to 29000,0,400,1,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,1
2373,Pontiac,Urban,Male,Married,36,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,more than 5,4 to 8 years,2 vehicles,60
2374,Honda,Urban,Male,Married,42,Policy Holder,Sedan - All Perils,less than 20000,0,400,4,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,60
2375,Toyota,Urban,Male,Married,22,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,6 years,No,No,External,more than 5,no change,1 vehicle,60
2376,Pontiac,Urban,Male,Married,28,Third Party,Sedan - Liability,20000 to 29000,0,400,3,more than 30,1,6 years,No,No,External,3 to 5,no change,1 vehicle,3
2377,Pontiac,Urban,Male,Married,42,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
2378,Chevrolet,Urban,Male,Single,30,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,3 to 5,no change,3 to 4,1
2379,Toyota,Urban,Male,Married,43,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,none,7 years,Yes,Yes,External,3 to 5,no change,1 vehicle,61
2380,Pontiac,Urban,Female,Single,65,Policy Holder,Sport - All Perils,20000 to 29000,0,400,3,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,61
2381,Mazda,Urban,Male,Married,44,Policy Holder,Sedan - Liability,30000 to 39000,0,400,3,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,60
2382,Pontiac,Urban,Male,Married,62,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
2383,Mazda,Urban,Female,Married,43,Policy Holder,Sedan - Collision,20000 to 29000,1,400,3,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,2
2384,Honda,Urban,Male,Married,36,Policy Holder,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
2385,Honda,Urban,Male,Married,43,Third Party,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,60
2386,Mazda,Urban,Male,Married,49,Third Party,Sedan - All Perils,more than 69000,0,400,1,more than 30,none,7 years,Yes,No,External,1 to 2,no change,1 vehicle,61
2387,Ford,Urban,Male,Married,50,Policy Holder,Sedan - All Perils,20000 to 29000,1,700,2,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,1
2388,Toyota,Urban,Male,Married,58,Policy Holder,Sedan - All Perils,less than 20000,1,400,2,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,1
2389,Toyota,Urban,Male,Single,28,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,60
2390,Dodge,Rural,Male,Married,34,Policy Holder,Sedan - Collision,30000 to 39000,0,400,4,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,60
2391,Pontiac,Urban,Male,Married,43,Third Party,Sedan - Liability,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,61
2392,Honda,Urban,Male,Married,41,Third Party,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1
2393,Honda,Urban,Male,Married,38,Policy Holder,Sedan - Liability,more than 69000,0,400,2,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,60
2394,Honda,Urban,Male,Single,29,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,1 to 2,4 to 8 years,2 vehicles,60
2395,Mazda,Urban,Male,Single,31,Policy Holder,Sedan - Liability,less than 20000,0,400,4,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,60
2396,Pontiac,Urban,Female,Married,35,Policy Holder,Sedan - Collision,less than 20000,0,400,4,more than 30,1,5 years,No,No,External,1 to 2,no change,1 vehicle,2
2397,Toyota,Urban,Male,Married,53,Policy Holder,Sedan - Liability,more than 69000,0,500,3,more than 30,2 to 4,more than 7,No,No,External,more than 5,2 to 3 years,1 vehicle,60
2398,Mazda,Urban,Male,Married,64,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,more than 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,61
2399,Mazda,Urban,Male,Married,38,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,60
2400,Toyota,Urban,Male,Married,26,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,60
2401,Pontiac,Urban,Male,Single,28,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,60
2402,Toyota,Urban,Male,Married,29,Third Party,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,62
2403,Pontiac,Urban,Female,Single,34,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,2,more than 30,2 to 4,3 years,No,No,External,more than 5,no change,1 vehicle,10
2404,Toyota,Urban,Male,Married,55,Third Party,Sedan - Collision,30000 to 39000,0,400,3,more than 30,1,more than 7,Yes,No,External,none,no change,1 vehicle,1
2405,Chevrolet,Rural,Male,Single,21,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,2 to 4,5 years,No,No,External,1 to 2,no change,1 vehicle,60
2406,Mazda,Urban,Male,Married,27,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,60
2407,Toyota,Urban,Male,Single,32,Third Party,Sedan - Collision,20000 to 29000,0,400,3,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,60
2408,Toyota,Rural,Male,Married,54,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,2
2409,Honda,Urban,Male,Married,32,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,60
2410,Pontiac,Urban,Male,Married,42,Policy Holder,Sedan - Collision,more than 69000,0,400,1,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,60
2411,Toyota,Urban,Female,Married,38,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,61
2412,Honda,Urban,Male,Married,53,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,9
2413,Accura,Urban,Male,Single,43,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,4
2414,Pontiac,Urban,Male,Married,41,Third Party,Sedan - Liability,30000 to 39000,0,400,3,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,60
2415,Pontiac,Urban,Male,Married,31,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,1 to 2,4 to 8 years,2 vehicles,3
2416,Toyota,Urban,Male,Single,28,Policy Holder,Sedan - All Perils,less than 20000,0,400,3,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,61
2417,Saturn,Urban,Male,Single,43,Policy Holder,Sedan - Collision,40000 to 59000,0,400,2,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,60
2418,Toyota,Rural,Male,Married,42,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,2 to 4,5 years,No,No,External,1 to 2,no change,1 vehicle,60
2419,Pontiac,Urban,Male,Married,62,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,3 to 4,64
2420,Toyota,Urban,Male,Married,32,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,61
2421,Pontiac,Urban,Male,Married,28,Third Party,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,60
2422,Pontiac,Urban,Male,Married,53,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,60
2423,Pontiac,Urban,Female,Married,32,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,4,more than 30,1,6 years,No,No,External,1 to 2,no change,1 vehicle,3
2424,Honda,Urban,Female,Married,45,Third Party,Sedan - All Perils,less than 20000,0,400,3,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,60
2425,Honda,Urban,Male,Married,55,Third Party,Sedan - Collision,20000 to 29000,0,400,2,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,62
2426,Ford,Urban,Male,Single,43,Third Party,Sedan - Liability,30000 to 39000,0,400,3,more than 30,1,more than 7,No,No,Internal,more than 5,no change,1 vehicle,61
2427,Mazda,Urban,Male,Married,44,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,60
2428,Honda,Urban,Male,Married,63,Third Party,Sedan - All Perils,20000 to 29000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,61
2429,Dodge,Urban,Male,Married,53,Policy Holder,Sedan - Liability,30000 to 39000,0,400,2,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,60
2430,Toyota,Urban,Male,Married,47,Policy Holder,Sedan - Collision,20000 to 29000,0,400,4,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
2431,Pontiac,Urban,Female,Single,35,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,60
2432,Toyota,Rural,Male,Single,31,Third Party,Sedan - All Perils,30000 to 39000,0,400,3,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,2
2433,Chevrolet,Urban,Male,Married,51,Policy Holder,Sedan - Liability,more than 69000,1,400,1,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,2
2434,Honda,Urban,Male,Married,78,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,3,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,60
2435,Toyota,Urban,Female,Married,32,Policy Holder,Sedan - Collision,more than 69000,0,400,2,more than 30,none,6 years,Yes,No,External,1 to 2,no change,1 vehicle,60
2436,Toyota,Rural,Male,Single,28,Policy Holder,Sedan - All Perils,20000 to 29000,1,400,2,more than 30,1,6 years,No,No,External,1 to 2,4 to 8 years,2 vehicles,6
2437,Mazda,Urban,Male,Single,35,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,62
2438,Chevrolet,Urban,Male,Single,41,Policy Holder,Sedan - Liability,30000 to 39000,0,400,4,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,60
2439,Chevrolet,Urban,Male,Single,33,Third Party,Sedan - Liability,more than 69000,0,400,1,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1
2440,Chevrolet,Urban,Male,Single,34,Third Party,Sedan - Liability,more than 69000,0,400,2,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1
2441,Honda,Urban,Male,Single,28,Policy Holder,Sedan - Liability,30000 to 39000,0,400,1,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,60
2442,Toyota,Urban,Male,Married,46,Policy Holder,Sedan - All Perils,20000 to 29000,0,400,4,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,60
